"","Estado","Antiguedad","Vivienda","Plazo","Edad","EstadoCivil","Registros","Trabajo","Gastos","Ingresos","Activos","Deuda","Cantidad","Precio"
"24","bueno",27,"alquila",60,41,"casado","no","fijo",74,140,0,0,950,1497
"25","bueno",26,"propietario",60,51,"casado","no","fijo",45,143,3500,0,1350,1357
"26","bueno",12,"propietario",36,54,"casado","no","fijo",60,130,4000,0,700,2100
"27","bueno",19,"propietario",60,43,"soltero","no","fijo",75,180,4000,0,1000,1070
"28","bueno",15,"propietario",36,43,"casado","no","fijo",75,251,4000,0,1800,2557
"29","malo",3,"propietario",24,23,"casado","no","fijo",75,85,5000,0,600,1600
"31","bueno",4,"propietario",48,29,"casado","no","fijo",45,150,5000,3300,1100,1312
"32","malo",0,"propietario",36,23,"soltero","no","tiempo parcial",45,122,2500,0,400,400
"33","bueno",14,"privado",24,51,"casado","no","tiempo parcial",75,198,1000,0,450,650
"34","bueno",10,"propietario",36,39,"casado","no","freelance",75,150,3000,0,1000,1394
"35","bueno",12,"padres",36,35,"soltero","no","fijo",35,170,0,0,1100,1542
"36","bueno",32,"propietario",24,62,"casado","no","freelance",45,119,8500,0,700,1200
"37","bueno",10,"propietario",24,56,"casado","no","freelance",45,208,13500,0,500,1560
"38","bueno",7,"propietario",48,32,"casado","no","fijo",75,115,3000,0,800,1200
"39","malo",1,"alquila",54,36,"casado","no","fijo",70,99,0,0,950,950
"40","bueno",30,"propietario",60,64,"casado","no","fijo",45,120,14000,0,1125,1300
"41","malo",5,"alquila",48,31,"soltero","no","fijo",44,90,0,0,1300,1700
"42","bueno",24,"propietario",60,42,"casado","no","fijo",75,137,4000,0,900,1167
"43","bueno",0,"propietario",60,61,"viudo","no","otros",35,230,50000,0,950,1150
"44","malo",0,"propietario",60,32,"casado","sí","fijo",45,142,7000,3000,1250,1566
"45","malo",2,"propietario",60,43,"casado","no","tiempo parcial",75,71,3000,0,1500,1552
"46","bueno",1,"padres",60,26,"soltero","no","tiempo parcial",35,120,0,0,1150,1300
"47","bueno",1,"propietario",60,49,"viudo","no","freelance",35,233,15900,4500,2100,2104
"48","bueno",15,"propietario",36,47,"casado","no","fijo",75,289,3500,0,1500,2154
"49","malo",2,"alquila",36,27,"separado","no","fijo",48,128,0,0,450,545
"50","bueno",25,"propietario",36,52,"casado","no","freelance",60,150,15000,0,750,1778
"51","bueno",8,"propietario",60,28,"casado","no","fijo",60,145,4000,1000,1600,1718
"52","bueno",5,"propietario",60,31,"casado","no","fijo",75,90,4000,0,900,1500
"53","bueno",0,"alquila",60,32,"casado","no","fijo",105,301,0,0,1200,1274
"54","bueno",5,"propietario",36,51,"casado","no","freelance",75,200,2100,1200,900,1015
"55","bueno",3,"padres",12,37,"casado","no","freelance",60,150,500,0,500,1701
"56","malo",1,"alquila",48,29,"casado","sí","freelance",85,100,0,0,1000,1345
"57","bueno",7,"padres",60,26,"soltero","no","fijo",35,100,0,0,1000,1238
"58","bueno",4,"padres",30,27,"soltero","no","fijo",45,100,5000,0,500,1048
"59","bueno",6,"propietario",24,63,"casado","no","fijo",60,155,4000,0,600,1048
"60","bueno",14,"propietario",24,55,"casado","no","fijo",90,715,5000,0,800,1324
"61","bueno",3,"alquila",60,28,"casado","no","fijo",70,245,0,0,1830,2201
"62","bueno",8,"alquila",48,31,"casado","no","fijo",90,150,0,0,1100,1430
"63","malo",4,"padres",42,27,"soltero","no","fijo",35,70,0,0,600,926
"64","bueno",22,"propietario",24,40,"casado","no","fijo",75,190,3000,0,1000,1500
"65","bueno",2,"propietario",36,35,"casado","no","fijo",75,152,3000,0,1000,1542
"66","bueno",15,"privado",60,43,"casado","no","fijo",75,126,3000,0,1350,1360
"67","bueno",10,"propietario",18,34,"casado","no","freelance",75,181,4000,0,600,1000
"68","bueno",4,"propietario",60,37,"casado","no","fijo",60,185,3000,0,1200,1564
"69","bueno",9,"propietario",60,53,"casado","no","fijo",45,170,2500,0,850,1205
"70","bueno",22,"alquila",60,46,"casado","no","fijo",93,176,7500,0,2000,2200
"71","bueno",18,"padres",36,36,"casado","no","freelance",60,238,0,0,900,2214
"72","bueno",1,"privado",60,46,"casado","no","fijo",60,115,5500,800,1000,1137
"73","bueno",14,"propietario",48,43,"casado","no","fijo",45,200,9000,0,600,1025
"74","bueno",8,"propietario",36,31,"casado","sí","freelance",75,411,9000,4000,800,1593
"75","bueno",5,"propietario",24,43,"casado","no","fijo",75,93,3000,0,700,1735
"76","bueno",19,"alquila",60,38,"casado","no","fijo",86,108,0,0,1000,1132
"77","bueno",14,"propietario",12,37,"casado","no","freelance",90,500,4000,0,500,1338
"78","bueno",0,"otra",36,46,"casado","sí","otros",45,45,0,0,900,1100
"79","bueno",9,"alquila",36,55,"casado","no","fijo",70,250,30000,0,1750,2276
"80","bueno",29,"propietario",48,56,"casado","no","fijo",45,100,3000,0,900,1360
"81","bueno",10,"propietario",36,55,"casado","no","fijo",60,70,4000,0,1000,1436
"82","bueno",10,"padres",36,52,"casado","no","fijo",60,150,0,0,550,612
"83","malo",1,"propietario",36,29,"casado","no","fijo",60,70,4500,0,850,1100
"84","bueno",11,"propietario",60,39,"divorciado","sí","fijo",35,263,2500,0,1000,1300
"85","bueno",10,"propietario",60,38,"casado","no","freelance",75,200,9000,0,1000,2089
"86","bueno",5,"propietario",24,24,"soltero","no","fijo",35,78,6000,3000,500,2262
"87","bueno",10,"alquila",60,28,"soltero","no","fijo",47,120,0,0,600,1054
"88","bueno",27,"propietario",60,53,"casado","no","fijo",60,125,10000,0,1426,1426
"89","malo",0,"alquila",60,25,"soltero","no","tiempo parcial",40,50,0,0,1040,1048
"90","malo",25,"alquila",60,62,"casado","no","fijo",60,146,0,0,1000,1292
"91","bueno",3,"padres",60,29,"soltero","no","fijo",35,70,0,0,950,1177
"92","malo",9,"padres",60,32,"soltero","sí","fijo",35,105,0,0,1490,1490
"93","bueno",4,"alquila",36,21,"casado","no","freelance",101,413,6000,0,750,850
"94","bueno",6,"alquila",36,38,"casado","no","freelance",95,500,25000,21400,800,1011
"95","bueno",9,"alquila",48,56,"casado","no","freelance",140,350,0,0,1400,1571
"96","bueno",3,"propietario",36,41,"casado","no","freelance",75,200,3000,0,1000,1000
"97","malo",22,"otra",36,46,"casado","no","fijo",45,138,0,0,250,270
"98","bueno",3,"propietario",60,54,"viudo","no","otros",35,80,4000,0,950,1382
"99","bueno",30,"propietario",36,51,"casado","no","freelance",120,208,15000,0,1500,1713
"100","bueno",8,"alquila",60,52,"casado","no","fijo",89,137,4000,0,800,1086
"101","bueno",38,"propietario",48,57,"casado","no","freelance",45,58,12000,0,1500,3262
"102","bueno",2,"alquila",60,33,"casado","no","fijo",73,130,0,0,1100,1610
"103","bueno",4,"propietario",60,33,"casado","no","fijo",75,123,6000,1000,600,1030
"104","malo",0,"alquila",36,29,"casado","no","tiempo parcial",78,180,0,0,650,650
"105","malo",2,"otra",48,23,"soltero","no","fijo",35,140,0,0,1950,2175
"106","bueno",8,"propietario",24,33,"casado","no","fijo",75,315,4500,0,400,1780
"107","malo",1,"alquila",36,24,"casado","no","tiempo parcial",76,164,0,0,900,950
"108","malo",6,"padres",60,28,"casado","no","freelance",90,325,7000,0,1200,1211
"109","bueno",5,"propietario",60,27,"casado","no","fijo",45,135,5000,1400,1600,1650
"110","malo",13,"padres",36,33,"soltero","no","fijo",35,109,0,0,350,350
"111","bueno",11,"alquila",60,32,"casado","no","fijo",79,185,0,0,950,1117
"112","bueno",10,"propietario",24,39,"casado","no","fijo",45,217,9000,3000,1500,2468
"113","malo",20,"propietario",60,51,"casado","no","freelance",90,300,12500,2500,1340,1740
"115","bueno",13,"propietario",48,29,"casado","no","fijo",60,253,3000,0,670,963
"116","malo",2,"propietario",36,32,"casado","no","fijo",75,101,1500,400,1200,1646
"117","malo",3,"propietario",36,40,"casado","sí","freelance",35,200,10000,0,800,800
"118","bueno",12,"propietario",36,47,"casado","no","fijo",75,124,3500,0,460,470
"119","bueno",20,"propietario",24,66,"casado","no","fijo",45,143,10000,0,950,1370
"120","bueno",3,"privado",48,39,"separado","no","freelance",35,250,4000,1500,700,839
"121","bueno",27,"propietario",60,50,"casado","no","fijo",75,135,5500,1000,600,1346
"122","bueno",4,"alquila",60,25,"casado","no","fijo",57,115,0,0,900,1350
"123","malo",1,"propietario",60,27,"casado","no","tiempo parcial",75,160,4000,3000,1800,2100
"124","bueno",18,"alquila",60,54,"casado","no","fijo",66,214,0,0,1300,1307
"125","bueno",12,"alquila",60,42,"casado","no","fijo",114,390,0,0,1100,1126
"126","bueno",12,"propietario",48,35,"separado","no","freelance",45,500,200000,0,2380,4786
"127","malo",0,"padres",60,23,"soltero","no","tiempo parcial",35,95,0,0,1400,1478
"128","bueno",12,"propietario",60,52,"casado","no","fijo",75,200,12000,0,1550,1568
"129","bueno",0,"padres",24,22,"soltero","no","tiempo parcial",35,85,0,0,650,1056
"130","bueno",10,"otra",18,48,"casado","no","fijo",90,214,0,0,1000,1608
"131","bueno",2,"propietario",60,25,"casado","no","fijo",75,140,3000,0,950,1179
"132","malo",10,"otra",60,26,"casado","no","fijo",45,60,0,0,1400,1524
"133","bueno",8,"propietario",60,28,"casado","no","fijo",75,180,4000,0,1300,1730
"134","bueno",20,"propietario",30,62,"casado","no","freelance",60,300,24000,9000,600,823
"135","bueno",0,"alquila",60,33,"casado","no","freelance",65,200,0,0,700,800
"136","bueno",16,"padres",60,41,"casado","no","fijo",75,242,0,0,1300,1482
"137","bueno",4,"propietario",60,29,"casado","no","tiempo parcial",60,155,5000,2500,900,1110
"138","malo",1,"alquila",60,37,"soltero","no","fijo",45,100,0,0,1150,1555
"139","bueno",0,"propietario",60,31,"casado","no","fijo",60,105,3500,0,1100,1170
"140","bueno",15,"propietario",12,50,"casado","no","freelance",45,166,2000,0,500,886
"141","malo",13,"alquila",60,42,"separado","sí","fijo",47,120,0,0,800,1395
"142","bueno",19,"propietario",36,33,"casado","no","fijo",60,115,6700,2000,1000,2084
"143","bueno",15,"propietario",24,54,"casado","no","freelance",90,350,150000,0,3800,8800
"145","bueno",9,"alquila",60,40,"casado","no","fijo",119,442,6000,1947,900,1211
"146","malo",12,"padres",60,31,"separado","sí","fijo",35,101,0,0,1300,1300
"147","malo",0,"propietario",36,35,"casado","sí","fijo",105,122,5200,2000,850,850
"148","bueno",14,"propietario",60,64,"casado","no","freelance",60,250,10000,0,700,1204
"149","bueno",10,"padres",24,29,"soltero","no","freelance",35,90,0,0,600,1528
"150","bueno",2,"propietario",48,33,"casado","no","fijo",45,160,6000,0,1200,1298
"151","bueno",15,"propietario",18,35,"casado","no","freelance",60,300,4000,0,300,600
"152","malo",1,"padres",48,28,"soltero","no","fijo",35,83,0,0,1000,1320
"154","malo",0,"otra",60,25,"casado","no","tiempo parcial",60,60,0,0,1300,1380
"155","malo",0,"padres",60,23,"soltero","no","tiempo parcial",35,205,0,0,1400,1426
"156","bueno",3,"propietario",24,30,"casado","no","freelance",75,133,12000,900,1500,5200
"157","bueno",8,"alquila",36,36,"casado","no","fijo",78,179,0,0,900,1503
"159","bueno",5,"otra",60,22,"soltero","no","fijo",45,195,0,0,700,1422
"160","bueno",9,"propietario",24,45,"casado","no","fijo",75,112,4000,0,500,1430
"161","bueno",4,"propietario",30,47,"casado","no","freelance",90,210,15000,0,1550,1578
"162","bueno",14,"privado",48,36,"casado","no","fijo",75,155,3500,200,1100,1250
"163","bueno",3,"propietario",36,36,"soltero","sí","freelance",35,394,16000,0,1500,2260
"164","bueno",22,"alquila",36,60,"casado","no","fijo",60,149,0,0,200,280
"165","bueno",20,"alquila",48,59,"casado","no","fijo",57,120,0,0,800,1298
"166","malo",6,"propietario",48,58,"casado","sí","freelance",60,400,86000,0,930,945
"167","bueno",23,"propietario",12,37,"casado","no","fijo",45,165,5000,0,900,1694
"168","malo",5,"propietario",36,32,"casado","no","freelance",75,125,6000,0,600,700
"169","bueno",8,"alquila",48,26,"soltero","no","fijo",42,74,0,0,600,1290
"170","bueno",5,"propietario",60,40,"casado","no","fijo",75,86,4900,0,1300,1581
"171","bueno",20,"propietario",48,55,"casado","no","fijo",45,185,5000,0,1000,1383
"172","bueno",11,"alquila",60,30,"casado","no","fijo",77,165,0,0,1350,1637
"173","bueno",25,"padres",54,43,"casado","no","fijo",75,110,7000,0,1275,1275
"174","malo",2,"alquila",60,28,"casado","no","fijo",74,138,0,0,1400,1400
"175","bueno",20,"propietario",24,47,"casado","no","freelance",75,300,5000,0,600,832
"176","bueno",9,"propietario",36,29,"soltero","no","fijo",35,147,3500,0,1886,2886
"178","bueno",18,"padres",60,34,"casado","no","fijo",60,112,6550,0,600,1346
"179","bueno",20,"propietario",60,53,"casado","sí","freelance",75,350,6500,0,800,1138
"180","bueno",6,"propietario",12,44,"casado","no","fijo",45,110,15000,0,300,1801
"181","malo",0,"propietario",48,49,"casado","no","tiempo parcial",45,75,2000,0,900,1200
"182","bueno",0,"alquila",36,51,"casado","no","fijo",113,230,0,0,950,950
"183","bueno",14,"ignorar",60,34,"casado","no","fijo",75,85,8000,0,1400,1589
"184","bueno",10,"propietario",48,42,"casado","no","freelance",75,210,4000,120,1200,1617
"185","bueno",19,"propietario",60,34,"casado","no","fijo",75,125,5000,0,1200,1200
"186","bueno",11,"propietario",60,46,"casado","no","fijo",75,149,3500,0,1400,2194
"187","bueno",1,"propietario",48,31,"casado","no","fijo",75,201,2500,96,1100,1642
"188","malo",13,"otra",60,31,"casado","no","fijo",60,105,0,0,1200,1423
"189","bueno",4,"alquila",12,33,"casado","no","fijo",78,183,0,0,600,1600
"190","malo",9,"alquila",24,30,"soltero","sí","fijo",46,113,0,0,700,700
"191","bueno",1,"propietario",24,27,"casado","no","fijo",45,126,3000,3700,200,300
"192","bueno",4,"propietario",36,48,"casado","no","freelance",120,300,5000,0,1000,1165
"193","bueno",2,"propietario",60,33,"casado","no","fijo",75,160,6000,0,1000,1365
"194","bueno",2,"propietario",12,44,"casado","no","fijo",90,160,7500,0,500,1706
"196","bueno",21,"propietario",60,57,"casado","no","freelance",60,95,8000,0,1000,1700
"197","bueno",12,"propietario",60,34,"casado","sí","fijo",75,125,5500,4000,950,1462
"198","bueno",9,"alquila",60,38,"casado","no","fijo",87,120,0,0,1177,1300
"199","bueno",2,"alquila",36,35,"casado","no","fijo",126,359,0,0,870,1122
"200","bueno",24,"propietario",60,52,"casado","no","fijo",45,80,4000,0,1200,1257
"201","bueno",1,"padres",60,28,"soltero","no","tiempo parcial",35,67,0,0,1050,1387
"202","bueno",15,"propietario",48,46,"casado","no","fijo",90,148,12000,0,1000,1266
"203","bueno",19,"propietario",60,56,"casado","sí","fijo",45,298,8000,0,1700,2195
"204","bueno",10,"propietario",24,52,"casado","no","fijo",75,318,4500,700,700,2004
"205","bueno",19,"propietario",60,35,"casado","no","fijo",75,185,4000,0,1100,1203
"207","bueno",4,"padres",48,29,"casado","no","fijo",45,194,0,0,1200,1374
"208","malo",1,"padres",60,22,"soltero","no","fijo",35,80,3000,0,1500,1514
"209","bueno",2,"propietario",24,33,"casado","sí","fijo",75,147,2000,900,400,750
"210","bueno",5,"propietario",24,41,"casado","no","freelance",105,156,10000,0,800,1894
"211","bueno",11,"propietario",36,37,"casado","no","fijo",75,178,3000,0,1000,1048
"212","bueno",23,"propietario",24,46,"casado","no","fijo",75,130,4000,0,400,1369
"213","malo",4,"otra",36,19,"soltero","no","tiempo parcial",35,63,0,0,1000,1035
"214","malo",5,"padres",36,22,"soltero","no","fijo",35,88,0,0,750,1218
"215","bueno",15,"padres",60,31,"casado","no","fijo",45,140,0,0,1200,1637
"216","malo",1,"privado",60,44,"casado","no","tiempo parcial",45,115,2000,0,750,953
"217","bueno",9,"propietario",60,48,"casado","sí","fijo",60,83,2500,0,1100,1212
"218","bueno",4,"privado",36,31,"casado","no","fijo",60,144,3000,0,1000,1218
"219","bueno",20,"propietario",24,53,"casado","no","freelance",45,200,100000,0,1000,1419
"220","bueno",10,"otra",60,36,"casado","no","fijo",90,172,3000,0,1100,1100
"221","bueno",2,"privado",60,46,"casado","no","freelance",105,200,4000,500,900,987
"222","bueno",15,"propietario",60,37,"casado","no","fijo",60,318,7000,0,1900,2400
"223","bueno",8,"propietario",60,34,"casado","no","fijo",60,177,6300,4000,1370,1375
"224","bueno",4,"propietario",48,36,"casado","no","fijo",60,133,4000,0,1000,1595
"225","bueno",4,"propietario",60,64,"soltero","no","otros",35,150,9000,0,984,1054
"226","bueno",1,"propietario",36,27,"soltero","no","fijo",35,208,9000,0,1000,1651
"227","bueno",10,"propietario",30,26,"casado","no","fijo",75,145,1434,0,300,1542
"228","bueno",32,"propietario",60,53,"casado","no","fijo",60,157,5000,0,2000,2014
"229","bueno",12,"propietario",60,50,"casado","no","fijo",45,190,9500,200,1800,2624
"230","malo",0,"padres",60,21,"soltero","no","tiempo parcial",35,86,0,0,1000,1135
"231","bueno",20,"padres",24,40,"soltero","no","fijo",35,90,0,0,600,1105
"232","bueno",6,"alquila",60,49,"casado","sí","tiempo parcial",100,100,30000,0,1500,1500
"233","malo",4,"alquila",24,40,"casado","sí","fijo",56,214,0,0,800,1200
"234","bueno",1,"alquila",60,37,"soltero","no","fijo",45,100,0,0,1150,1555
"235","bueno",2,"alquila",48,25,"casado","no","fijo",57,117,0,0,800,2251
"236","bueno",25,"propietario",18,40,"casado","no","fijo",45,110,4000,0,455,1542
"237","bueno",1,"alquila",36,22,"casado","no","fijo",62,168,0,0,1200,2186
"238","bueno",10,"propietario",48,49,"casado","no","freelance",45,150,9000,0,1700,1700
"239","bueno",2,"propietario",60,34,"casado","no","fijo",45,166,7000,0,600,1180
"243","bueno",20,"propietario",36,42,"casado","no","freelance",90,250,4500,0,1500,1750
"244","bueno",10,"propietario",48,28,"casado","sí","tiempo parcial",60,120,2500,1500,600,875
"245","bueno",1,"propietario",60,30,"casado","no","freelance",35,236,3500,1000,1000,1514
"246","malo",1,"propietario",60,25,"separado","sí","tiempo parcial",45,277,6000,3500,1700,1950
"247","malo",0,"padres",60,22,"soltero","no","tiempo parcial",35,55,0,0,950,1462
"248","bueno",5,"padres",36,27,"soltero","no","fijo",35,200,4000,0,600,1098
"249","bueno",3,"padres",60,26,"soltero","no","fijo",45,235,0,0,800,840
"250","malo",0,"propietario",48,28,"casado","no","fijo",45,80,1500,0,1260,1634
"251","bueno",6,"propietario",48,35,"casado","no","freelance",45,200,7000,0,1540,1603
"252","bueno",21,"privado",60,51,"casado","no","fijo",45,140,3000,0,1200,1200
"253","bueno",5,"alquila",60,24,"casado","no","fijo",73,125,0,0,700,1360
"254","bueno",12,"alquila",60,34,"casado","no","fijo",94,185,0,0,1200,1236
"255","bueno",13,"propietario",42,34,"casado","no","fijo",105,190,2500,300,1100,1395
"256","bueno",10,"propietario",60,49,"casado","no","freelance",60,150,23000,0,1200,1390
"257","bueno",6,"propietario",60,28,"casado","no","fijo",60,102,5000,0,700,1355
"258","bueno",18,"alquila",60,57,"casado","no","fijo",77,170,4000,0,1300,1604
"259","bueno",15,"propietario",60,63,"casado","no","fijo",60,315,3500,266,1000,1241
"260","malo",0,"alquila",12,37,"casado","no","otros",88,130,0,0,250,375
"261","bueno",2,"propietario",36,27,"casado","no","fijo",45,156,6000,0,700,1045
"262","bueno",18,"alquila",60,39,"casado","no","fijo",93,177,0,0,800,1781
"263","bueno",12,"propietario",36,64,"soltero","sí","freelance",60,341,4500,0,900,900
"264","bueno",25,"propietario",48,49,"casado","no","freelance",105,240,12000,4200,1660,1698
"265","bueno",8,"propietario",12,49,"casado","no","freelance",60,142,6000,0,200,1048
"266","bueno",20,"propietario",36,45,"casado","no","freelance",75,333,5000,0,1000,2200
"267","bueno",3,"padres",60,27,"soltero","no","fijo",35,125,5000,0,770,1119
"268","bueno",2,"padres",36,30,"casado","no","fijo",45,170,0,0,700,1090
"269","malo",2,"propietario",36,33,"casado","no","freelance",75,220,16000,500,3000,4100
"270","bueno",15,"propietario",36,40,"casado","no","fijo",60,230,8500,480,700,1400
"271","bueno",3,"propietario",60,30,"separado","no","fijo",60,157,15000,0,1000,2010
"272","bueno",4,"padres",12,30,"casado","no","fijo",60,340,16000,0,1900,2014
"273","bueno",3,"propietario",60,25,"casado","no","tiempo parcial",60,120,3500,200,1000,1342
"274","bueno",9,"alquila",60,40,"soltero","no","fijo",44,91,0,0,1000,1132
"275","malo",4,"privado",42,50,"casado","no","freelance",60,150,7000,0,900,1048
"276","bueno",2,"propietario",36,23,"soltero","no","fijo",35,88,5500,0,750,1218
"277","bueno",1,"otra",48,28,"soltero","no","tiempo parcial",35,120,0,0,900,1114
"279","bueno",2,"alquila",60,27,"casado","no","fijo",56,106,0,0,650,2132
"280","bueno",2,"padres",36,19,"casado","no","fijo",35,162,4000,100,400,570
"281","bueno",3,"padres",60,39,"casado","no","fijo",45,77,0,0,1000,1094
"282","bueno",8,"privado",36,39,"casado","no","fijo",75,128,2500,0,550,550
"283","bueno",10,"propietario",48,55,"viudo","no","fijo",35,189,9000,0,1200,1255
"284","bueno",10,"propietario",36,32,"casado","no","freelance",60,300,40000,3000,2000,4138
"285","bueno",5,"propietario",60,54,"casado","no","freelance",60,92,6000,1700,1700,1714
"286","bueno",20,"propietario",48,58,"casado","no","freelance",60,380,35000,0,1100,1150
"287","bueno",5,"propietario",24,37,"casado","no","freelance",75,500,14000,0,1500,2673
"288","bueno",20,"padres",60,36,"casado","no","freelance",60,130,0,0,1200,1630
"289","bueno",12,"propietario",60,28,"casado","no","fijo",45,141,6000,400,1100,1544
"290","bueno",13,"propietario",60,38,"casado","no","fijo",75,220,6500,3600,1000,1195
"291","bueno",11,"propietario",36,26,"casado","no","fijo",60,146,5000,1300,400,1206
"292","bueno",17,"propietario",60,41,"casado","no","freelance",75,250,13500,3700,1400,2050
"293","bueno",6,"propietario",36,42,"casado","no","fijo",60,132,6000,0,1200,1513
"294","bueno",22,"propietario",6,46,"casado","no","freelance",90,150,75000,0,3000,3300
"295","bueno",25,"alquila",60,52,"casado","no","fijo",73,127,0,0,1030,1250
"296","malo",8,"propietario",60,30,"casado","no","tiempo parcial",60,90,3000,500,1000,1339
"297","malo",19,"propietario",60,47,"casado","sí","freelance",90,166,12500,1000,875,875
"298","bueno",3,"propietario",18,66,"casado","no","otros",45,69,12000,0,500,1101
"299","bueno",35,"propietario",60,54,"casado","no","fijo",45,182,4000,0,1000,1568
"300","bueno",0,"propietario",42,65,"casado","no","otros",45,77,4000,2000,750,1194
"301","malo",7,"otra",60,25,"casado","no","fijo",45,50,0,0,950,1378
"302","bueno",3,"propietario",60,31,"soltero","no","fijo",35,131,4000,0,1050,1139
"303","bueno",1,"padres",24,23,"soltero","no","fijo",35,62,0,0,350,350
"304","malo",5,"propietario",60,35,"casado","no","fijo",75,60,3000,400,1150,1406
"305","bueno",2,"propietario",60,47,"casado","no","fijo",90,86,4500,0,1200,1497
"306","malo",13,"alquila",36,28,"casado","no","fijo",59,143,0,0,1400,1600
"307","malo",27,"alquila",60,50,"casado","sí","fijo",87,120,0,0,1300,1350
"308","malo",3,"otra",60,25,"soltero","no","fijo",35,283,0,0,2000,2032
"309","bueno",0,"propietario",36,39,"casado","no","fijo",60,138,3000,0,1400,2610
"310","bueno",1,"privado",12,46,"casado","no","otros",90,90,2000,600,500,1193
"311","malo",1,"alquila",60,36,"casado","sí","fijo",85,99,0,0,1200,1275
"312","malo",10,"propietario",36,39,"casado","sí","freelance",75,160,15000,0,3250,3750
"313","bueno",1,"propietario",60,25,"casado","no","tiempo parcial",60,330,9000,3500,1300,2500
"314","bueno",6,"propietario",36,49,"casado","no","freelance",60,100,22000,0,1000,1790
"315","malo",3,"alquila",48,52,"casado","no","fijo",96,210,0,0,1400,1419
"316","bueno",10,"alquila",30,34,"separado","no","fijo",45,100,0,0,700,1480
"317","bueno",0,"propietario",36,24,"soltero","no","tiempo parcial",45,97,8000,0,600,1542
"319","bueno",6,"propietario",48,24,"casado","no","fijo",45,227,3000,0,600,1380
"320","bueno",5,"propietario",42,33,"casado","sí","fijo",45,140,22000,2500,1200,1888
"321","malo",1,"alquila",48,31,"casado","no","fijo",87,115,0,0,1100,1672
"322","bueno",37,"propietario",48,63,"casado","no","fijo",60,150,3500,0,700,808
"323","malo",1,"padres",60,23,"soltero","no","fijo",35,90,0,0,1100,1107
"324","bueno",40,"propietario",42,61,"casado","no","fijo",90,275,12000,0,1000,1335
"325","bueno",5,"padres",60,28,"soltero","no","fijo",35,176,0,0,1190,1390
"326","bueno",11,"alquila",60,58,"casado","no","fijo",71,110,3000,0,1150,1363
"327","bueno",23,"propietario",60,41,"casado","no","fijo",75,140,3000,0,1450,1482
"328","bueno",23,"propietario",60,38,"casado","no","fijo",45,500,3500,0,1900,2357
"329","malo",5,"propietario",60,27,"casado","no","fijo",75,66,3000,0,600,850
"331","bueno",5,"propietario",48,40,"casado","no","freelance",75,145,6000,0,825,1617
"332","bueno",31,"propietario",60,59,"casado","no","fijo",60,67,6500,0,1080,1114
"334","malo",10,"propietario",60,38,"casado","sí","fijo",90,80,3000,1749,1030,1095
"336","bueno",8,"otra",60,28,"casado","no","fijo",45,200,0,0,700,1529
"337","bueno",2,"propietario",36,49,"casado","sí","freelance",75,154,14000,0,850,1263
"338","bueno",3,"privado",48,38,"casado","no","freelance",90,187,2500,750,1550,1600
"339","malo",35,"propietario",48,52,"casado","no","fijo",60,135,5000,0,1200,1400
"340","bueno",3,"propietario",48,37,"viudo","no","fijo",45,160,6000,3000,1000,1520
"341","bueno",25,"propietario",60,42,"casado","no","fijo",60,133,9500,0,1500,1617
"342","bueno",8,"alquila",60,54,"casado","no","freelance",173,230,5000,0,1100,1500
